asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
GOLD,SHORT,2025-08-18T13:00:00+00:00,2025-08-18T14:00:00+00:00,3382.5,2025-08-19T16:00:00+00:00,3361.7289,3392.8855,3361.7289,0.029564,1.0,0.6141,0.614,26.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,42.22240592048186,0.45274710863941436,0.8946630796318157,BEARISH,NEUTRAL,3389.6833249788256,12108.0,6.923686976023228,100.6141
GOLD,LONG,2025-08-20T17:00:00+00:00,2025-08-20T18:00:00+00:00,3390.2,2025-08-21T05:00:00+00:00,3380.1611,3380.1611,3410.2776,0.029678,1.0061,-0.2979,-0.296,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,68.76685659349944,4.980632553895248,1.8587015412935184,BULLISH,NEUTRAL,3376.797142741363,4839.0,6.692542051614576,100.3161
GOLD,LONG,2025-08-21T15:00:00+00:00,2025-08-21T16:00:00+00:00,3387.6001,2025-08-22T03:00:00+00:00,3374.9131,3374.9131,3412.9742,0.029613,1.0032,-0.3757,-0.375,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,56.64463749718516,1.2515978796018317,1.199608295720216,BULLISH,NEUTRAL,3382.482742671716,10616.0,8.458028423022885,99.9404
GOLD,SHORT,2025-08-22T06:00:00+00:00,2025-08-22T07:00:00+00:00,3371.7,2025-08-22T14:00:00+00:00,3379.0051,3379.0051,3357.0897,0.029641,0.9994,-0.2165,-0.217,7.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,37.29644142960395,-2.170192532452802,-0.7704171119024783,BEARISH,NEUTRAL,3378.771939442423,5414.0,4.870096420625493,99.7239
GOLD,LONG,2025-08-25T00:00:00+00:00,2025-08-25T01:00:00+00:00,3410.2,2025-08-25T23:00:00+00:00,3399.2484,3399.2484,3432.103,0.029243,0.9972,-0.3203,-0.321,22.0,False,STOP_LOSS,False,5,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA,Volume,61.50428682028248,10.005237714799023,8.018424865523796,BULLISH,BULLISH,3400.5162416377434,3510.0,7.3010256882105455,99.4037
GOLD,LONG,2025-08-26T01:00:00+00:00,2025-08-26T02:00:00+00:00,3424.3999,2025-08-28T08:00:00+00:00,3455.2461,3408.9768,3455.2461,0.029028,0.994,0.8954,0.901,54.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.284729067833425,3.7995510125178953,3.7870590476124364,BULLISH,BULLISH,3413.4467700516493,9603.0,10.282054971711494,100.2991
GOLD,LONG,2025-08-29T13:00:00+00:00,2025-08-29T14:00:00+00:00,3489.2,2025-08-29T15:00:00+00:00,3510.9118,3478.344,3510.9118,0.028746,1.003,0.6241,0.622,1.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.78807393820999,4.53382723018467,4.440732714800458,BULLISH,BULLISH,3470.854974065604,16956.0,7.237270098307634,100.9232
GOLD,LONG,2025-09-02T15:00:00+00:00,2025-09-02T16:00:00+00:00,3586.1001,2025-09-03T16:00:00+00:00,3633.3419,3562.4792,3633.3419,0.028143,1.0092,1.3295,1.317,24.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,74.23535079450613,19.318477743569474,18.126170909111227,BULLISH,BULLISH,3544.337284931216,20992.0,15.747269186840334,102.2527
GOLD,LONG,2025-09-04T15:00:00+00:00,2025-09-04T16:00:00+00:00,3612.3,2025-09-05T13:00:00+00:00,3651.1069,3592.8966,3651.1069,0.028307,1.0225,1.0985,1.074,21.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,57.422116939213645,1.1719043413690997,0.7359721541734467,BULLISH,NEUTRAL,3604.1621567679126,11604.0,12.935609650944622,103.3512
GOLD,LONG,2025-09-08T08:00:00+00:00,2025-09-08T09:00:00+00:00,3651.2,2025-09-08T15:00:00+00:00,3684.6197,3634.4901,3684.6197,0.028306,1.0335,0.946,0.915,6.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,63.01773307226192,5.592766640684204,5.515190642229987,BULLISH,NEUTRAL,3635.3203917608143,8957.0,11.13991616507896,104.2972
